sample,block
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.2.hr..ref..rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.2.hr..ref..rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.2.hr..ref..rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.24.hr..ref..rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.24.hr..ref..rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.24.hr..ref..rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.24.hr..ref..rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.24.hr..ref..rep.5,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.15.min.rep.5,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.2.hr..ref..rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.2.hr..ref..rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.2.hr..ref..rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.2.hr..ref..rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.24.hr..ref..rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.24.hr..ref..rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.24.hr..ref..rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Streptomycin.for.24.hr..ref..rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..100.ug.ml.Streptomycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..100.ug.ml.Streptomycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..100.ug.ml.Streptomycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..100.ug.ml.Streptomycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..25.ug.ml.Streptomycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..25.ug.ml.Streptomycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..25.ug.ml.Streptomycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..25.ug.ml.Streptomycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..5.0.ug.ml.Streptomycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..5.0.ug.ml.Streptomycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..5.0.ug.ml.Streptomycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..5.0.ug.ml.Streptomycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Erythromycin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..0.5.ug.ml.Tetracyclin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Erythromycin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.2.hr.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.2.hr.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.2.hr.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.2.hr.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.24.hr.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.24.hr.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.24.hr.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.24.hr.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..1.0.ug.ml.Tetracyclin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Erythromycin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..100.ug.ml.Tetracyclin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Erythromycin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..25.ug.ml.Tetracyclin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Erythromycin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.30.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.30.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.30.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.ethanol.vs..5.0.ug.ml.Tetracyclin.for.30.min.rep.4,antitb.inhibit.protein.synthesis
Tet_100uM_30M_01,antitb.inhibit.protein.synthesis
Tet_20uM_30M_01,antitb.inhibit.protein.synthesis
Tet_500ng_30M_01,antitb.inhibit.protein.synthesis
Tet_50ng_30M_01,antitb.inhibit.protein.synthesis
Tet_5ug_30M_01,antitb.inhibit.protein.synthesis
X10ug.ml.capreomycin.vs.Ethanol..6hrs,antitb.inhibit.protein.synthesis
X10ug.mL.capreomycinvsEtOH..6h,antitb.inhibit.protein.synthesis
X5ug.ml.Capreomycin.vs.Ethanol.6hrs.A,antitb.inhibit.protein.synthesis
X5ug.mL.KCN.DMSO..6h..2,antitb.inhibit.protein.synthesis
X5ug.ml.KCN.vs.DMSO.6hrs.rep.1.x,antitb.inhibit.protein.synthesis
X5ug.ml.KCN.vs.DMSO.6hrs.rep.1.y,antitb.inhibit.protein.synthesis
X5ug.ml.KCN.vs.DMSO.6hrs.rep.2.x,antitb.inhibit.protein.synthesis
X5ug.ml.KCN.vs.DMSO.6hrs.rep.2.y,antitb.inhibit.protein.synthesis
X5ug.ml.Streptomycin.vs.Ethanol.6hrs,antitb.inhibit.protein.synthesis
X0.1mMGSNO.10ug.mLmdvsDMSO.6h,antitb.inhibit.respiration
X0.1mMGSNO.10ug.mLmdvsDMSO.6hA,antitb.inhibit.respiration
X0.1mMGSNO.20ug.mLCPZvsDMSO.6h,antitb.inhibit.respiration
X0.1mMGSNO.20ug.mLCPZvsDMSO.6hA,antitb.inhibit.respiration
X0.1mMGSNO.5ug.mLKCNvsDMSO.6h,antitb.inhibit.respiration
X0.1mMGSNO.5ug.mLKCNvsDMSO.6h.A,antitb.inhibit.respiration
X0.5mM.DNP.DMSO..6h,antitb.inhibit.respiration
X0.5uMValinomycin.70mMKClvsDMSO.6h,antitb.inhibit.respiration
X0.5uMValinomycinvsDMSO.6h,antitb.inhibit.respiration
X100uM.DCCD.DMSO..6h,antitb.inhibit.respiration
X10ug.mL.ChlorprovsEtOH,antitb.inhibit.respiration
X10ug.mL.ChlorprovsEtOH..6h,antitb.inhibit.respiration
X10ug.mL.clofazimine.DMSO..6h,antitb.inhibit.respiration
X10ug.mL.clotrimvsEtOH..6h,antitb.inhibit.respiration
X10ug.mL.ClotrimvsEtOH..6hA,antitb.inhibit.respiration
X10ug.mL.EconazolevsEtOH..6h,antitb.inhibit.respiration
X10ug.mL.EconazolevsEtOH..6hA,antitb.inhibit.respiration
X10ug.mL.menadionevsDMSO..6h,antitb.inhibit.respiration
X10ug.mL.TRZ.DMSO..6h..1,antitb.inhibit.respiration
X10ug.mL.TRZ.DMSO..6h..2,antitb.inhibit.respiration
X10ug.mLchlorpromazinevsctrl.6h,antitb.inhibit.respiration
X10ug.mLchlorpromazinevsctrl.6hA,antitb.inhibit.respiration
X10ug.mLmdn.0.1mMGSNO.DMSO..2,antitb.inhibit.respiration
X10ug.mLmnd.Dubos.vsDMSO.6h,antitb.inhibit.respiration
X10uM.CCCP.DMSO..6h,antitb.inhibit.respiration
X10uM.ValinomycinvsDMSO..6h,antitb.inhibit.respiration
X13ug.mL.clfzine.DMSO..6h..1,antitb.inhibit.respiration
X13ug.mL.clfzine.DMSO..6h..2,antitb.inhibit.respiration
X1mM.DNP.DMSO..6h..1,antitb.inhibit.respiration
X1mM.DNP.DMSO..6h..2,antitb.inhibit.respiration
X1uM.ValinomycinvsDMSO..6h,antitb.inhibit.respiration
X1uM.ValinomycinvsDMSO..6h.A,antitb.inhibit.respiration
X1uM.ValinomycinvsDMSO..6h.B,antitb.inhibit.respiration
X2.5mM.Dinitrophenol.DMSO..6h,antitb.inhibit.respiration
X20ug.mL.chlorprmz.DMSO..6h..1,antitb.inhibit.respiration
X20ug.mL.chlorprmz.DMSO..6h..2,antitb.inhibit.respiration
X20ug.mL.CPZvsDMSO..6h,antitb.inhibit.respiration
X20ug.mL.CPZvsDMSO..6h.A,antitb.inhibit.respiration
X20ug.mL.KCN.DMSO..6h,antitb.inhibit.respiration
X20uM.DCCD.DMSO..6h..1,antitb.inhibit.respiration
X20uM.DCCD.DMSO..6h..2,antitb.inhibit.respiration
X24ug.mL.cltrmazole.DMS..6h..1,antitb.inhibit.respiration
X24ug.mL.cltrmazole.DMS..6h..2,antitb.inhibit.respiration
X24ug.mL.cltrmazole.DMS..6h..3,antitb.inhibit.respiration
X24ug.mL.Econazole.DMSO..6h..1,antitb.inhibit.respiration
X24ug.mL.Econazole.DMSO..6h..2,antitb.inhibit.respiration
X25ug.mL.CPZvsDMSO..6h.A,antitb.inhibit.respiration
X25ug.mL.CPZvsDMSO..6h.B,antitb.inhibit.respiration
X25ug.mL.TRZ.DMSO..6h,antitb.inhibit.respiration
X25ug.mLCPZ.0.1mMGSNO.DMSO..1,antitb.inhibit.respiration
X25ug.mLCPZ.0.1mMGSNO.DMSO..2,antitb.inhibit.respiration
X25ug.mLCPZ.0.1mMGSNO.DMSO..3,antitb.inhibit.respiration
X25ug.mLCPZ.0.1mMGSNOvsDMSO.A,antitb.inhibit.respiration
X2mM.DTTvsDMSO..6h,antitb.inhibit.respiration
X2mM.DTTvsDMSO..6h.A,antitb.inhibit.respiration
X2mM.ZnSO4.DMSO..6h,antitb.inhibit.respiration
X50ug.mL.Thioridazine.DMSO..6h,antitb.inhibit.respiration
X50uM.CCCP.DMSO..6h..1,antitb.inhibit.respiration
X50uM.CCCP.DMSO..6h..2,antitb.inhibit.respiration
X50uM.CCCPvsDMSO..6h,antitb.inhibit.respiration
X50uM.NigericinvsDMSO..6h,antitb.inhibit.respiration
X50uM.NigericinvsDMSO..6h.A,antitb.inhibit.respiration
X5ug.mL.CFZ.0.1mM.GSNO.DMSO..1,antitb.inhibit.respiration
X5ug.mL.CFZ.0.1mM.GSNO.DMSO..2,antitb.inhibit.respiration
X5ug.mL.KCN.DMSO..6h..1,antitb.inhibit.respiration
X5ug.mL.KCN.DMSO..6h..2,antitb.inhibit.respiration
X5ug.mLCFZ.0.1mMGSNOvsDMSO.A,antitb.inhibit.respiration
X60ug.mL.ChlorprovsEtOH..6h,antitb.inhibit.respiration
X6ug.mL.MenadionevsDMSO..6h,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.4hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.4hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.4hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.4hr.rep.2,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.6hr.rep.1,antitb.inhibit.respiration
CDC1551.ctrl.vs.40.ug.ml.Thioridazine.6hr.rep.2,antitb.inhibit.respiration
MTB.strain.1254.Ctrl.vs.0.5.mM.KCN.1hr.rep.1,antitb.inhibit.respiration
MTB.strain.1254.Ctrl.vs.0.5.mM.KCN.1hr.rep.2,antitb.inhibit.respiration
MTB.strain.1254.Ctrl.vs.0.5.mM.KCN.1hr.rep.3,antitb.inhibit.respiration
X20ug.mL.KCN.DMSO..6h,antitb.inhibit.respiration
X20ug.ml.KCN.vs.DMSO.6hrs.x,antitb.inhibit.respiration
X20ug.ml.KCN.vs.DMSO.6hrs.y,antitb.inhibit.respiration
X0.1ug.mL.RifpvsEtOH..6h,antitb.inhibit.transcription
X0.1ug.mL.RifpvsEtOH..6hA,antitb.inhibit.transcription
X0.2ug.mL.RifvsDMSO..6h,antitb.inhibit.transcription
X0.2ug.mL.RifvsDMSO..6hA,antitb.inhibit.transcription
X0.2ug.mL.RifvsDMSO..6h,antitb.inhibit.transcription
X0.2ug.mL.RifvsDMSO..6hA,antitb.inhibit.transcription
X0.5ug.mLRifapentinevsEtOH.6h,antitb.inhibit.transcription
X0.5ug.mLRifapentinevsEtOH.6hA,antitb.inhibit.transcription
X5ug.ml.Rifampicin.vs.DMSO.2.5hrs,antitb.inhibit.transcription
Rif.0.5ug.mL.vsDMSO.2.5h,antitb.inhibit.transcription
Rif.0.5ug.mL.vsDMSO.2.5hA,antitb.inhibit.transcription
Rif.5ug.mL.vsDMSO.2.5h,antitb.inhibit.transcription
Rif.5ug.mL.vsDMSO.2.5hA,antitb.inhibit.transcription
X5ug.ml.Rifampicin.vs.DMSO.2.5hrs,antitb.inhibit.transcription
X0.2ug.mL..111891.DMSO..5.5h..1,antitb.iron.scavenger
X0.2ug.mL..111891.DMSO..5.5h..2,antitb.iron.scavenger
X0.2ug.mL..111891.DMSO..5.5h..3,antitb.iron.scavenger
X0.5ug.mL..111891vsDMSO.6h,antitb.iron.scavenger
X0.5ug.mL..111891vsDMSO.6hA,antitb.iron.scavenger
X0.5ug.mL..111895vsDMSO..6h,antitb.iron.scavenger
X0.5ug.mL..111895vsDMSO.6h,antitb.iron.scavenger
X0.5ug.mL..121940vsDMSO.6h,antitb.iron.scavenger
X0.5ug.mL..121940vsDMSO.6hA,antitb.iron.scavenger
X0.5ug.mL..124196vsDMSO..6h,antitb.iron.scavenger
X0.5ug.mL..124196vsDMSO..6hA,antitb.iron.scavenger
X1.ug.mL..111891vsDMSO..6h,antitb.iron.scavenger
X100uM.Dipyridylvsctrl..6h,antitb.iron.scavenger
X100uM.DipyridylvsCtrl..6hA,antitb.iron.scavenger
X150uM.Deferroxaminevsctrl..6hA,antitb.iron.scavenger
X150uM.Deferroxaminevsctrl..6hB,antitb.iron.scavenger
X1ug.mL..111891.DMSO..12h..1,antitb.iron.scavenger
X1ug.mL..111891.DMSO..12h..2,antitb.iron.scavenger
X1ug.mL..111891vsDMSO..6h,antitb.iron.scavenger
X1ug.mL..111895vsDMSO..6h,antitb.iron.scavenger
X1ug.mL..111895vsDMSO..6hA,antitb.iron.scavenger
X1ug.mL..121940.DMSO..12h,antitb.iron.scavenger
X1ug.mL..124196vsDMSO..6h,antitb.iron.scavenger
X1ug.mL..124196vsDMSO..6hA,antitb.iron.scavenger
X200uM.Dipyridylvsctrl..6h,antitb.iron.scavenger
X200uM.Dipyridylvsctrl..6hA,antitb.iron.scavenger
X250uM.DeferroxaminevsDMSO..6h,antitb.iron.scavenger
X2ug.mL..111891vsDMSO..6h,antitb.iron.scavenger
X2ug.mL..111895vsDMSO..6h,antitb.iron.scavenger
X2ug.mL..111895vsDMSO..6hA,antitb.iron.scavenger
X2ug.mL..111895vsDMSO..6hB,antitb.iron.scavenger
X2ug.mL..121940vsDMSO..6h,antitb.iron.scavenger
X2ug.mL..121940vsDMSO..6hA,antitb.iron.scavenger
X9ug.mLAscidideminNpvsDMSO.6h,antitb.iron.scavenger
X9ug.mLAscidideminNpvsDMSO.6hA,antitb.iron.scavenger
H37Rv.Ctrl.vs.10.ug.ml.garlic.extract.6hrs,antitb.iron.scavengers
H37Rv.Ctrl.vs.2.ug.ml.garlic.extract.6hrs.rep.1,antitb.iron.scavengers
H37Rv.Ctrl.vs.2.ug.ml.garlic.extract.6hrs.rep2,antitb.iron.scavengers
H37Rv.Ctrl.vs.5.ug.ml.garlic.extract.6hrs,antitb.iron.scavengers
X0.2ug.ml.PA.824.vs.DMSO.6hrs.rep.1,antitb.other
X0.2ug.ml.PA.824.vs.DMSO.6hrs.rep.2,antitb.other
X0.2ug.mL.PA824.DMSO..6h..1,antitb.other
X0.2ug.mL.PA824.DMSO..6h..2,antitb.other
X0.2ug.ml.PA.824.vs.DMSO.6hrs.rep.1,antitb.other
X0.2ug.mL.PA824.DMSO..6h..1,antitb.other
X0.2ug.mL.PA824.DMSO..6h..2,antitb.other
X10ug.mL.methoxatinvsDMSO..6h.A,antitb.other
X10ug.mL.PA.1vsDMSO..6h,antitb.other
X10ug.mL.PA.1vsDMSO..6hA,antitb.other
X10ug.mL.PA.1vsDMSO..6hB,antitb.other
X10ug.mL.PA.21vsDMSO..6h,antitb.other
X10ug.mL.PA.21vsDMSO..6hA,antitb.other
X10ug.mLMethoxatinvsDMSO.6h,antitb.other
X12.5ug.mL.AntimycinvsDMSO..6h,antitb.other
X1mM.DTNBvsDMSO..6h,antitb.other
X20ug.mL.methoxatinvsDMSO..6h,antitb.other
X20ug.mL.Prcp.6776.DMSO..6h..1,antitb.other
X20ug.mL.Prcp.6778.DMSO..6h..1,antitb.other
X20ug.mL.Prcp.6778.DMSO..6h..2,antitb.other
X20ug.mL.Procept.6776vsDMSO..6h,antitb.other
X20ug.mL.Procept6776vsDMSO..6h,antitb.other
X20ug.mLProcept6778vsDMSO.6h,antitb.other
X20ug.mLProcept6778vsDMSO.6hA,antitb.other
X20ug.mLProcept6778vsDMSO.6hB,antitb.other
X25ug.mL.AntimycinvsDMSO..6h,antitb.other
X2mM.DTNBvsDMSO,antitb.other
